id,name,scientific,status,origin,date,light,temperature,watering_rule
PL001,Monstera Thai,monstera deliciosa thai constellation,ok,acquisto,2025-06-05,luce indiretta luminosa,18° – 27°,lascia asciugare completamente
PL002,Monstera,monstera deliciosa,ok,acquisto,,luce indiretta luminosa,15° – 30°,lascia asciugare completamente
PL003,Iresine,iresine herbstii,ok,acquisto,,luce indiretta luminosa,15° – 25°,mantieni leggermente umido
PL004,Oxalis Pink,oxalis vulcanicola pink variegata,ok,acquisto,,luce indiretta luminosa,10° – 25°,lascia asciugare per metà
PL005,Schefflera Baby,schefflera arboricola variegata,ok,acquisto,,luce indiretta,18° – 24°,lascia asciugare completamente
PL006,Ficus Tineke Baby,ficus elastica tineke,ok,acquisto,,luce indiretta luminosa,18° – 24°,lascia asciugare per metà
PL007,Ficus Belize Baby,ficus elastica belize,ok,acquisto,,luce indiretta luminosa,15° – 30°,lascia asciugare per metà
PL008,Pothos 'njoy baby,scindapsus n'joy,ok,talea,,luce indiretta luminosa,18° – 25°,lascia asciugare per metà
PL009,Strelitzia media,strelitzia reginae (forse),problem,acquisto,,pieno sole,10° – 28°,lascia asciugare completamente
PL010,Coleus,solenostemon scutellarioides,ok,regalo,,luce indiretta,15° – 32°,mantieni leggermente umido
PL011,Ficus,ficus elastica,ok,acquisto,,luce indiretta luminosa,16° – 24°,lascia asciugare completamente
PL012,Strelitzia augusta verde,strelitzia alba augusta,problem,acquisto,,pieno sole,16° – 24°,lascia asciugare completamente
PL013,Strelitzia augusta grigio,strelitzia alba augusta,problem,acquisto,,pieno sole,16° – 24°,lascia asciugare completamente
PL014,Strelitzia piccola,strelitzia nicolai (forse),problem,acquisto,,pieno sole,15° – 28°,lascia asciugare completamente
PL015,Falangio smezzato,chlorophytum comosum,attention,acquisto,,luce indiretta,18° – 25°,lascia asciugare per metà
PL016,Callisia Repens,callisia repens rosato,ok,acquisto,,luce indiretta,10° – 30°,lascia asciugare per metà
PL017,Philodendro rosa,philodendron pink princess,attention,acquisto,2025-12-15,luce indiretta luminosa,18° – 27°,mantieni leggermente umido
PL018,Tradescantia rosa,tradescantia zebrina rosa,ok,talea,,luce indiretta luminosa,17° – 24°,lascia asciugare completamente
PL019,Tradescantia bianca,tradescantia fluminensis albovittata,ok,acquisto,,luce indiretta luminosa,15° – 25°,lascia asciugare completamente
PL020,Hoya,hoya carnosa tricolor,problem,acquisto,,luce indiretta luminosa,10° – 35°,lascia asciugare completamente
PL021,Beucarnea baby,beucarnea recurvata,ok,acquisto,,pieno sole,15° – 30°,lascia asciugare completamente
PL022,Marantha,maranta leuconera,ok,acquisto,,mezzombra,18° – 24°,lascia asciugare per metà
PL023,Marantha baby idro,maranta leuconera,attention,talea,,mezzombra,18° – 24°,lascia asciugare per metà
PL024,Monstera monkey,monstera adansonii,ok,acquisto,,luce indiretta luminosa,18° – 27°,mantieni leggermente umido
PL025,Pilea baby,pilea peperomioides,ok,talea,,luce indiretta luminosa,15° – 25°,lascia asciugare completamente
PL026,Pilea baby,pilea peperomioides,ok,talea,,luce indiretta luminosa,15° – 25°,lascia asciugare completamente
PL027,Pilea baby,pilea peperomioides,ok,talea,,luce indiretta luminosa,15° – 25°,lascia asciugare completamente
PL028,Dracena Fragrans,dracaena fragrans,problem,acquisto,,luce indiretta luminosa,17° – 25°,lascia asciugare per metà
PL029,Pilea,pilea peperomioides,attention,acquisto,,luce indiretta luminosa,15° – 25°,lascia asciugare completamente
PL030,Aspidistra,aspidistra elatior,attention,regalo,2023-01-01,mezzombra,10° – 21°,lascia asciugare completamente
PL031,Calathea vaso viola,calathea white fusion,ok,acquisto,,luce indiretta luminosa,18° – 26°,mantieni leggermente umido
PL032,Spatifillo,spathiphyllum,ok,acquisto,2025-03-08,luce indiretta,18° – 25°,mantieni leggermente umido
PL033,Adenium,adenium obesum,problem,acquisto,,pieno sole,12° – 35°,lascia asciugare completamente
PL034,Avocado big,persea americana,attention,talea,,pieno sole,15° – 30°,lascia asciugare per metà
PL035,Avocado,persea americana,ok,talea,,pieno sole,15° – 30°,lascia asciugare per metà
PL036,Avocado,persea americana,ok,talea,,pieno sole,15° – 30°,lascia asciugare per metà
PL037,Syngonium pink,syngonium neon pink,problem,acquisto,,luce indiretta,15° – 25°,lascia asciugare per metà
PL038,Monsterona,monstera deliciosa,attention,acquisto,,luce indiretta luminosa,18° – 25°,lascia asciugare per metà
PL039,Anthurium,anthurium,ok,acquisto,,luce indiretta luminosa,17° – 28°,lascia asciugare per metà
PL040,Pothos,epipremnum aureum,attention,acquisto,,luce indiretta,14° – 26°,lascia asciugare per metà
PL041,Tradescantia mix,tradescantia,problem,talea,,mezzombra,15° – 25°,lascia asciugare completamente
PL042,Cyperus,cyperus alternifolius,ok,regalo,2026-04-03,luce indiretta,17° – 27°,mantieni leggermente umido
PL043,Cytisus,cytisus racemosus,problem,regalo,2026-04-05,pieno sole,7° – 20°,lascia asciugare completamente
PL044,Eucalipto,eucalipto gunnii,problem,acquisto,,pieno sole,-10° – 30°,lascia asciugare completamente
PL045,Pothos mint,epipremnum aureum,ok,acquisto,2026-04-12,luce indiretta luminosa,15° – 25°,lascia asciugare completamente
PL046,Dieffenbachia,dieffenbachia,problem,acquisto,,luce indiretta luminosa,18° – 25°,lascia asciugare per metà
PL047,Pothos 'njoy,scindapsus n'joy,attention,acquisto,,luce indiretta luminosa,18° – 25°,lascia asciugare per metà
PL048,Calathea vaso rosa,calathea white fusion,ok,acquisto,,luce indiretta luminosa,18° – 26°,mantieni leggermente umido
PL049,Syngonium green,syngonium podophyllum green arrow,problem,acquisto,,luce indiretta,15° – 25°,lascia asciugare per metà
PL050,Philodendro birkin,philodendron birkin,attention,acquisto,,luce indiretta luminosa,18° – 25°,mantieni leggermente umido
PL051,ZZ,zamioculcas zamiifolia,ok,acquisto,,luce indiretta,18° – 25°,lascia asciugare completamente
PL052,Sanseviera,sansevieria,attention,acquisto,,luce indiretta,15° – 25°,lascia asciugare completamente
PL053,Peperomia variegata,peperomia obtusifolia variegata,problem,regalo,,luce indiretta luminosa,12° – 24°,lascia asciugare completamente
PL054,Pothos con palo,epipremnum aureum,ok,talea,2026-04-12,luce indiretta,14° – 26°,lascia asciugare per metà
PL055,ZZ black raven,zamioculcas zamiifolia raven,attention,regalo,,luce indiretta,15° – 29°,lascia asciugare completamente
PL056,Falangio smezzato,chlorophytum comosum,attention,acquisto,,luce indiretta,18° – 25°,lascia asciugare per metà
PL057,Falangio figlio 1,chlorophytum comosum,attention,acquisto,,luce indiretta,18° – 25°,lascia asciugare per metà
PL058,Falangio figlio 2,chlorophytum comosum,attention,acquisto,,luce indiretta,18° – 25°,lascia asciugare per metà
PL059,Falangio figlio 3,chlorophytum comosum,attention,acquisto,,luce indiretta,18° – 25°,lascia asciugare per metà
PL060,Falangio figlio 4,chlorophytum comosum,attention,acquisto,,luce indiretta,18° – 25°,lascia asciugare per metà
PL061,Felce di boston,nephrolepis exaltata,problem,acquisto,,luce indiretta,15° – 24°,mantieni leggermente umido
PL062,Pothos bowl variegata,epipremnum aureum,ok,talea,2026-04-12,luce indiretta,14° – 26°,lascia asciugare per metà
PL063,Pothos bowl variegata piccola,epipremnum aureum,ok,talea,2026-04-12,luce indiretta,14° – 26°,lascia asciugare per metà
PL064,Pothos bowl,epipremnum aureum,ok,talea,2026-04-12,luce indiretta,14° – 26°,lascia asciugare per metà
PL065,Scatola di fragole in sfagno,sfagnum box,ok,talea,2026-04-26,luce indiretta,20° – 25°,mantieni leggermente umido
PL066,"Scatola sfagno peperoncini, pomodori, pomodorini",sfagnum box,ok,talea,2026-04-26,luce indiretta,20° – 25°,mantieni leggermente umido
PL067,Bowl di pothos da sfagno,epipremnum aureum,ok,talea,2026-04-26,luce indiretta,14° – 26°,lascia asciugare per metà
PL068,Ludisia baby,ludisia discolor,ok,talea,2026-04-26,luce indiretta,18° – 25°,lascia asciugare completamente
PL069,Monstera monkey baby,monstera adansonii,ok,talea,2026-04-26,luce indiretta luminosa,18° – 27°,mantieni leggermente umido
